Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шовкопляс,Юстина,Євгенівна,Жіноча,1984-03-05,Кухар,хутір Донецьк,"набережна Савицький, буд. 7 кв. 8, Саки , 43988",+380 02 065-73-56,ibazylevska@example.net
Павленко,Андрій,Михайлович,Чоловіча,2005-09-27,Епідеміолог,місто Новомосковськ,"набережна Бахчева, буд. 962, Червоносів, 17748",029 618-81-54,chumachenkovira@example.org
Барабаш,Володимира,Олегівна,Жіноча,1980-03-20,Кур'єр,селище Євпаторія,"вулиця Посмітного, буд. 628 кв. 867, Снятин, 10098",+380 60 915-25-69,anzhelahuzenko@example.net
Іванченко,Валентин,Дмитрович,Чоловіча,1994-03-10,Лікар,місто Алчевськ,"сквер Шовкуненка, буд. 89 кв. 39, Лебедин, 40806",062 468 08 22,bohdanmamchur@example.com
Єщенко,Михайло,Юрійович,Чоловіча,1984-01-13,Психолог,село Рожище,"проспект Прохоровський, буд. 9 кв. 44, Бобринець, 56577",029 209 93 19,sofiia61@example.org
Самойленко,Руслан,Сергійович,Чоловіча,1968-01-09,Дантист,селище Ясинувата,"площа Каховський, буд. 20 кв. 2, Бучач, 52814",108-65-17,tovstukhaherman@example.org
Литвиненко,Людмила,Олександрівна,Жіноча,1980-12-10,Бізнесмен,хутір Баштанка,"площа Джерельна, буд. 290 кв. 53, Олешки, 92385",069 760 71 75,solomon71@example.org
Тимченко,Орина,Олегівна,Жіноча,1981-06-01,Краєзнавець,село Слов'янськ,"проспект Чорноморський 7-й, буд. 8 кв. 380, Южноукраїнськ, 96986",000 157 22 63,illia20@example.org
Мазур,Валентин,Андрійович,Чоловіча,1963-08-31,Лікар,місто Калуш,"парк Матроська Слобідка, буд. 90 кв. 50, Ладижин, 33787",673 59 48,avhustyn75@example.net
Андрієвич,Пилип,Михайлович,Чоловіча,1998-02-20,Драматург,село Ірпінь,"сквер Недєліна, буд. 6, Старий Самбір, 37223",+380 73 319-55-28,nbabii@example.com
Худяк,Емілія,Федорівна,Жіноча,1955-10-27,Бухгалтер,село Чернігів,"вулиця Семінарська, буд. 93 кв. 762, Ізмаїл, 96449",+380 (73) 157-15-13,bohuslav88@example.org
Литвин,Ігор,Дмитрович,Чоловіча,1949-10-09,Дерун,село Волочиськ,"сквер Залізничний 3-й, буд. 209, Тростянець, 46940",647 01 62,dmytro43@example.net
Стець,Борис,Петрович,Чоловіча,1949-01-19,Мистецтвознавець,село Бердичів,"шосе 19-та Лінія, буд. 818, Носівка, 74534",032 276 86 99,amvrosiigoliash@example.org
Бандурка,Валерій,Михайлович,Чоловіча,1980-07-08,Ветеринар,місто Олешки,"набережна Таїрова, буд. 3 кв. 684, Сніжне, 14842",706-61-20,panas42@example.org
Давиденко,Юстина,Євгенівна,Жіноча,1997-09-04,М'ясник,місто Кривий Ріг,"вулиця Контрадмірала Луніна, буд. 08, Золоте, 38626",+380 40 525-71-42,zorianchupryna@example.org
Цимбал,Аарон,Іванович,Чоловіча,1947-04-07,Науковець,селище Сколе,"узвіз Об'їзна дорога, буд. 5, Рені, 85496",067 087-64-33,bazylevychkostiantyn@example.org
Вакуленко,Богуслава,Віталіївна,Жіноча,1963-09-21,Складальник,місто Миронівка,"узвіз Житомирський 4-й, буд. 440 кв. 4, Лебедин, 88760",138-11-72,iostapchuk@example.org
Оніщук,Мирослав,Валентинович,Чоловіча,1975-05-17,Живописець,місто Соснівка ,"провулок Патріотична, буд. 2 кв. 16, Шепетівка, 99203",280-97-27,vitaliiromanchuk@example.com
Ткаченко,Єлисей,Олегович,Чоловіча,1998-04-15,Клавішник,селище Стебник,"парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 63 кв. 6, Мала Виска, 99195",+380 59 393 61 98,flutsenko@example.com
Бабак,Болеслав,Олегович,Чоловіча,2002-06-08,Електрослюсар,село Борзна,"площа Чорноморський 10-й, буд. 959 кв. 4, Стебник, 36528",+380 31 618-07-39,martynlukash@example.net
Андрієнко,Ярослава,Євгенівна,Жіноча,1981-11-12,Патологоанатом,хутір Хоростків,"шосе Новомосковська дорога, буд. 8 кв. 77, Пологи , 39384",040 788-35-04,varfolomiivlasenko@example.com
Вернидуб,Яків,Сергійович,Чоловіча,2006-10-12,Мистецтвознавець,селище Вишгород,"вулиця Амбулаторний 2-й, буд. 691 кв. 86, Канів, 47182",+380 (77) 339-83-99,amaliiatalan@example.com
Перебийніс,Валерій,Миколайович,Чоловіча,1965-07-02,Детектив,селище Генічеськ,"парк Альпіністів, буд. 845, Ладижин, 67099",075 596 51 93,boryslavlaba@example.com
Ярема,Охрім,Володимирович,Чоловіча,1965-09-29,Лікар,селище Хуст,"проспект Маланова, буд. 180, Вознесенівка, 88641",+380 60 257 83 23,nataliiadubyna@example.net
Оробець,Святослава,Андріївна,Жіноча,1954-04-07,Електромонтажник,місто Мена ,"узвіз Олександра Вронського, буд. 85, Могилів-Подільський, 97968",392 12 02,liubov40@example.org
Фастенко,Захар,Віталійович,Чоловіча,1941-11-18,Модель,місто Верхівцеве,"узвіз Педагогічний, буд. 1, Кропивницький, 52730",+380 41 760-43-63,qskoryk@example.org
Смик,Пріска,Василівна,Жіноча,1989-01-07,Пекар,село Мелітополь,"вулиця Берегова, буд. 8 кв. 7, Покров, 30741",+380 25 568-67-25,nsavenko@example.com
Цушко,Орест,Андрійович,Чоловіча,1996-04-27,Публіцист,хутір Переяслав,"парк Венгера, буд. 2, Богодухів, 95752",+380 (55) 710-40-10,boryslav32@example.org
Дзюба,Нестор,Романович,Чоловіча,1942-02-18,Архітектор,селище Лиман ,"набережна Бородінська, буд. 58 кв. 71, Овруч, 49576",063 321-58-28,iustym58@example.org
Семенченко,Камілла,Юріївна,Жіноча,2003-11-21,Кінорежисер,місто Кадіївка,"проспект Ванцетті, буд. 454, Любомль, 81055",588 86 21,iefremstets@example.net
Забара,Варфоломій,Валентинович,Чоловіча,1974-06-03,Штукатур,село Васильків,"набережна Молокова, буд. 3 кв. 7, Винники, 74464",040 049-78-19,mariana36@example.org
Дейсун,Віталій,Володимирович,Чоловіча,1973-04-01,Професор,село Ходорів,"площа 8-ма Лінія Дачі Ковалевського, буд. 322 кв. 660, Тиврів, 79846",954-29-17,lesdemianchuk@example.com
Захарченко,Азар,Євгенович,Чоловіча,1974-04-16,Модельєр,місто Суходільськ,"узвіз Велика Арнаутська, буд. 803 кв. 12, Жидачів, 72843",+380 (85) 131-55-45,ntelizhenko@example.com
Аронець,Пантелеймон,Михайлович,Чоловіча,1966-07-03,Машиніст,село Сокаль,"парк Наявний 7-й, буд. 7, Новоукраїнка, 12401",+380 73 474-38-77,bkyrylenko@example.com
Наливайко,Ірина,Романівна,Жіноча,1986-01-24,Головний меркшейдер,село Угнів,"шосе Іспанський, буд. 7, Болехів, 48737",378 34 37,lfranchuk@example.com
Івасюк,Вікторія,Юріївна,Жіноча,1976-02-17,Хімік,місто Ворожба,"сквер Училищна, буд. 545, Ланівці, 12654",391 42 75,zhadaniaroslava@example.com
Бабиченко,Олесь,Володимирович,Чоловіча,1965-02-21,Маркетолог,село Кропивницький,"проспект Красних Зорь, буд. 121, Красногорівка, 92561",019 073-01-14,ytymchuk@example.org
Демʼянюк,Ярина,Сергіївна,Жіноча,1955-07-03,Правник,місто Перевальськ,"вулиця Яружний, буд. 410, Новий Розділ, 16935",022 508-98-14,lemeshkovadym@example.org
Ґоляш,Дан,Валентинович,Чоловіча,1997-10-22,Сценарист,селище Тернопіль,"сквер Академіка Богатського, буд. 1, Тячів, 17984",+380 (55) 589-45-63,iryna09@example.com
